Date (MST),OTHER,OTHER_ghg,WIND,WIND_ghg,GAS,GAS_ghg,HYDRO,HYDRO_ghg,SOLAR,SOLAR_ghg,ENERGY STORAGE,ENERGY STORAGE_ghg,COAL,COAL_ghg,DUAL FUEL,DUAL FUEL_ghg,Total Generation,Total_ghg,EI,Renewable Gen,Fossil Fuel Gen,Net Generation,Price,Alberta Internal Load,RE_percent,Temp (°C),Dew Point Temp (°C),Wind Spd (km/h),Hmdx
2024-10-21 14:00:00,258.808226473861,49.3066061715412,2092.90203153522,27.2077264099578,7805.53897786874,3793.49194324421,218.278336399239,5.23868007358174,71.2664045688013,3.06445539645846,0,0,,,,,10446.7939768459,3878.30941129575,371.243983550512,2382.44677250326,8064.3472043426,8064.3472043426,21.67,10590,22.8,-0.3,-0.4,14,
2024-10-21 15:00:00,259.349349984328,49.0724973637189,1823.050257703,23.699653350139,8089.21974547565,3931.36079630117,226.656562894152,5.43975750945965,35.2887775545485,1.51741743484558,0,0,,,,,10433.5646936117,4011.09012195933,384.441007435863,2084.9955981517,8348.56909545998,8348.56909545998,62.67,10662,20,-0.5,-0.6,15,
2024-10-21 16:00:00,291.406779902942,50.63456466449,1561.69134260446,20.301987453858,8129.75942290266,3951.06307953069,294.356630788628,7.06455913892706,7.43938880537947,0.319893718631317,0,0,,,,,10284.6535650041,4029.3840845066,391.786078066598,1863.48736219847,8421.1662028056,8421.1662028056,84.08,10630,18.1,-1,-1.2,20,
2024-10-21 17:00:00,279.651492709054,50.1040516010094,1443.37748865162,18.7639073524711,8200.13311078257,3985.26469184033,238.994783423013,5.73587480215232,0.107777779168553,0.00463444450424777,0,0,,,,,10162.2646533454,4059.87316004047,399.504765771274,1682.48004985381,8479.78460349162,8479.78460349163,53.08,10621,16.6,-1.4,-1.6,17,
2024-10-21 18:00:00,292.00698454592,50.320997874296,1310.97236482294,17.0426407426982,8158.0349525898,3964.80498695864,296.959606472453,7.12703055533886,0.100000001490116,0.00430000006407499,0,0,,,,,10058.0739084326,4039.29995613104,401.597760456356,1608.03197129688,8450.04193713572,8450.04193713572,84.96,10532,16,-1.9,-2.2,14,
2024-10-21 19:00:00,290.101148636076,50.3411009170808,1142.92950898112,14.8580836167545,8174.07545870781,3972.600672932,284.882008218649,6.83716819724759,0.100000001490116,0.00430000006407499,0,0,,,,,9892.08812454514,4044.64132566314,408.876394421438,1427.91151720126,8464.17660734389,8464.17660734389,76.56,10393,14.4,-2.1,-2.4,21,
2024-10-21 20:00:00,302.496140946812,50.914779262814,887.693299871799,11.5400128983334,8208.23626993206,3989.20282718698,351.244302690029,8.4298632645607,0.100000001490116,0.00430000006407499,0,0,,,,,9749.77001344219,4060.09178261275,416.4294929024,1239.03760256332,8510.73241087887,8510.73241087887,100,10217,12.7,-2.5,-2.7,17,
2024-10-21 21:00:00,277.44490009745,49.6401923753892,707.547572109828,9.19811843742776,8295.77488943633,4031.74659626606,206.716507582068,4.96119618196964,0.100000001490116,0.00430000006407499,0,0,,,,,9487.58386922717,4095.55040326091,431.674750886236,914.364079693386,8573.21978953378,8573.21978953378,58.53,9961,9.6,-2.7,-2.9,13,
2024-10-21 22:00:00,273.989505906767,49.9525463413795,556.075605272353,7.22898286854059,8479.51445061324,4121.04402299803,130.049468429602,3.12118724231044,0.458888890379005,0.0197322222862972,0,0,,,,,9440.08791911234,4181.36647167255,442.937238244041,686.583962592334,8753.50395652001,8753.50395652001,74.76,9765,7.3,-2.9,-3.2,14,
2024-10-21 23:00:00,283.154458918042,50.7452089381981,355.056837847415,4.61573889201639,8519.36814656893,4140.4129192325,136.7272361686,3.2814536680464,0.106944445934561,0.0045986111751861,0,0,,,,,9294.41362394892,4199.05991934194,451.783198944602,491.891018461949,8802.52260548697,8802.52260548697,87.58,9550,5.3,-2.9,-3.3,7,
